id,name,protein,fat,carbohydrate,vitaminA,vitaminB1,vitaminB2,vitaminB3,vitaminB5,vitaminB6,vitaminB12,vitaminC,vitaminD,vitaminK
1,アマランサス　玄穀　,0.127,0.06,0.649,0,0.0004,0.0014,0.01,0.0169,0.0058,0,0,0,0
2,あわ　精白粒　,0.112,0.044,0.697,0,0.0056,0.0007,0.029,0.0183,0.0018,0,0,0,0
3,あわ　あわもち　,0.051,0.013,0.453,0,0.0008,0.0001,0.003,0.0061,0.0003,0,0,0,0
4,えんばく オートミール　,0.137,0.057,0.691,0,0.002,0.0008,0.011,0.0129,0.0011,0,0,0,0
5,おおむぎ 七分つき押麦　,0.109,0.021,0.721,0,0.0022,0.0007,0.032,0.0043,0.0014,0,0,0,0
6,おおむぎ　押麦　,0.062,0.013,0.778,0,0.0006,0.0004,0.016,0.0046,0.0014,0,0,0,0
7,おおむぎ　米粒麦　,0.07,0.021,0.762,0,0.0019,0.0005,0.023,0.0064,0.0019,0,0,0,0
8,おおむぎ　大麦めん　乾　,0.129,0.017,0.68,0,0.0021,0.0004,0.035,0.0064,0.0009,0,0,0,0
9,おおむぎ　大麦めん　ゆで　,0.048,0.006,0.243,0,0.0004,0.0001,0.01,0.0026,0.0001,0,0,0,0
10,おおむぎ　麦こがし　,0.125,0.05,0.771,0,0.0009,0.001,0.076,0.0028,0.0009,0,0,0,0
11,きび　精白粒　　　,0.113,0.033,0.709,0,0.0034,0.0009,0.037,0.0095,0.002,0,0,0,0
12,こむぎ　［玄穀］　国産　普通　,0.106,0.031,0.722,0,0.0041,0.0009,0.063,0.0103,0.0035,0,0,0,0
13,こむぎ　［玄穀］　輸入　軟質　,0.101,0.033,0.752,0,0.0049,0.0009,0.05,0.0107,0.0034,0,0,0,0
14,こむぎ　［玄穀］　輸入　硬質　,0.13,0.03,0.694,0,0.0035,0.0009,0.058,0.0129,0.0034,0,0,0,0
15,こむぎ　［小麦粉］　薄力粉　1等　,0.083,0.015,0.758,0,0.0011,0.0003,0.006,0.0053,0.0003,0,0,0,0
16,こむぎ　［小麦粉］　薄力粉　2等　,0.093,0.019,0.743,0,0.0021,0.0004,0.01,0.0062,0.0009,0,0,0,0
17,こむぎ　［小麦粉］　中力粉　1等　,0.09,0.016,0.751,0,0.001,0.0003,0.006,0.0047,0.0005,0,0,0,0
18,こむぎ　［小麦粉］　中力粉　2等　,0.097,0.018,0.74,0,0.0022,0.0004,0.012,0.0066,0.0007,0,0,0,0
19,こむぎ　［小麦粉］　強力粉　1等　,0.118,0.015,0.717,0,0.0009,0.0004,0.008,0.0077,0.0006,0,0,0,0
20,こむぎ　［小麦粉］　強力粉　2等　,0.126,0.017,0.706,0,0.0013,0.0004,0.011,0.0093,0.0008,0,0,0,0
21,こむぎ　［小麦粉］　強力粉　全粒粉　,0.128,0.029,0.682,0,0.0034,0.0009,0.057,0.0127,0.0033,0,0,0,0
22,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用　,0.101,0.019,0.736,0.01,0.0021,0.0003,0.015,0.0041,0.0007,0.001,0,0.001,0.01
23,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用　,0.078,0.04,0.744,0.09,0.001,0.0008,0.005,0.0048,0.0004,0.001,0,0.001,0.01
24,こむぎ　［小麦粉］　プレミックス粉　から揚げ用　,0.102,0.012,0.7,0.05,0.0015,0.0007,0.013,0.0033,0.0012,0,0,0,0.02
25,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　,0.088,0.013,0.761,0.01,0.0012,0.0099,0.009,0.0035,0.0006,0,0,0,0
26,こむぎ　［パン類］　食パン　　,0.093,0.044,0.467,0,0.0007,0.0004,0.012,0.0047,0.0003,0,0,0,0
27,こむぎ　［パン類］　コッペパン　　,0.085,0.038,0.491,0,0.0008,0.0008,0.007,0.0063,0.0004,0,0,0,0
28,こむぎ　［パン類］　乾パン　　,0.095,0.044,0.788,0,0.0014,0.0006,0.009,0.0041,0.0006,0,0,0,0
29,こむぎ　［パン類］　フランスパン　　,0.094,0.013,0.575,0,0.0008,0.0005,0.011,0.0045,0.0004,0,0,0,0
30,こむぎ　［パン類］　ライ麦パン　　,0.084,0.022,0.527,0,0.0016,0.0006,0.013,0.0046,0.0009,0,0,0,0
31,こむぎ　［パン類］　ぶどうパン　　,0.082,0.035,0.511,0,0.0011,0.0005,0.012,0.0042,0.0007,0,0,0,0
32,こむぎ　［パン類］　ロールパン　　,0.101,0.09,0.486,0.01,0.001,0.0006,0.013,0.0061,0.0003,0,0,0.001,0
33,こむぎ　［パン類］　クロワッサン　　,0.079,0.268,0.439,0.06,0.0008,0.0003,0.01,0.0044,0.0003,0,0,0.001,0
34,こむぎ　［パン類］　イングリッシュマフィン　　,0.081,0.036,0.408,0,0.0015,0.0008,0.012,0.0032,0.0005,0,0,0,0
35,こむぎ　［パン類］　ナン　　,0.103,0.034,0.476,0,0.0013,0.0006,0.013,0.0055,0.0005,0,0,0,0
36,こむぎ　［パン類］　ベーグル　　,0.096,0.02,0.546,0,0.0019,0.0008,0.02,0.0028,0.0006,-,-,-,-
37,こむぎ　［うどん・そうめん類］　うどん　生　,0.061,0.006,0.568,0,0.0009,0.0003,0.006,0.0036,0.0003,0,0,0,0
38,こむぎ　［うどん・そうめん類］　うどん　ゆで　,0.026,0.004,0.216,0,0.0002,0.0001,0.002,0.0013,0.0001,0,0,0,0
39,こむぎ　［うどん・そうめん類］　干しうどん　乾　,0.085,0.011,0.719,0,0.0008,0.0002,0.009,0.0045,0.0004,0,0,0,0
40,こむぎ　［うどん・そうめん類］　干しうどん　ゆで　,0.031,0.005,0.258,0,0.0002,0.0001,0.002,0.0014,0.0001,0,0,0,0
41,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾　,0.095,0.011,0.727,0,0.0008,0.0002,0.009,0.007,0.0003,0,0,0,0
42,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで　,0.035,0.004,0.258,0,0.0002,0.0001,0.002,0.0025,Tr,0,0,0,0
43,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾　,0.093,0.015,0.689,0,0.0006,0.0002,0.009,0.0052,0.0003,0,0,0,0
44,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで　,0.035,0.006,0.255,0,0.0003,0.0001,0.002,0.0016,0,0,0,0,0
45,こむぎ　［中華めん類］　中華めん　生　,0.086,0.012,0.557,0,0.0002,0.0002,0.006,0.0055,0.0002,0,0,0,0
46,こむぎ　［中華めん類］　中華めん　ゆで　,0.049,0.006,0.292,0,0.0001,0.0001,0.002,0.0025,0,Tr,0,0,0
47,こむぎ　［中華めん類］　蒸し中華めん　　,0.053,0.017,0.384,0,0.0001,0.0001,0.004,0.0027,0.0002,0,0,0,0
48,こむぎ　［中華めん類］　干し中華めん　乾　,0.105,0.016,0.73,0,0.0003,0.0003,0.01,0.0078,0.0005,0,0,0,0
49,こむぎ　［中華めん類］　干し中華めん　ゆで　,0.041,0.005,0.281,0,0.0001,0.0001,0.002,0.0024,0,Tr,0,0,0
50,こむぎ　［中華めん類］　沖縄そば　生　,0.092,0.02,0.542,0,0.0002,0.0004,0.008,0.0063,0.0011,0,0,0,0
51,こむぎ　［中華めん類］　沖縄そば　ゆで　,0.052,0.008,0.28,0,0.0001,0.0002,0.002,0.0023,0.0003,0,0,0,0
52,こむぎ　［中華めん類］　干し沖縄そば　乾　,0.12,0.017,0.678,0,0.0012,0.0005,0.011,0.0049,0.0005,0,0,0,0
53,こむぎ　［中華めん類］　干し沖縄そば　ゆで　,0.052,0.006,0.286,0,0.0002,0.0002,0.002,0.0018,0.0001,0,0,0,0
54,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け　,0.101,0.167,0.635,0,0.0146,0.0167,0.01,0.0041,0.0006,0,0,0,0.01
