id,name,protein,fat,carbohydrate,vitaminA,vitaminB1,vitaminB2,vitaminB3,vitaminB5,vitaminB6,vitaminB12,vitaminC,vitaminD,vitaminK
1,アマランサス　玄穀　,10,6,64.9,0,0.04,0.14,1,1.69,0.58,0,0,0,0
2,あわ　精白粒　,11.2,4.4,69.7,0,0.56,0.07,2.9,1.83,0.18,0,0,0,0
3,あわ　あわもち　,5.1,1.3,45.3,0,0.08,0.01,0.3,0.61,0.03,0,0,0,0
4,えんばく オートミール　,13.7,5.7,69.1,0,0.2,0.08,1.1,1.29,0.11,0,0,0,0
5,おおむぎ 七分つき押麦　,10.9,2.1,72.1,0,0.22,0.07,3.2,0.43,0.14,0,0,0,0
6,おおむぎ　押麦　,6.2,1.3,77.8,0,0.06,0.04,1.6,0.46,0.14,0,0,0,0
7,おおむぎ　米粒麦　,7,2.1,76.2,0,0.19,0.05,2.3,0.64,0.19,0,0,0,0
8,おおむぎ　大麦めん　乾　,12.9,1.7,68,0,0.21,0.04,3.5,0.64,0.09,0,0,0,0
9,おおむぎ　大麦めん　ゆで　,4.8,0.6,24.3,0,0.04,0.01,1,0.26,0.01,0,0,0,0
10,おおむぎ　麦こがし　,12.5,5,77.1,0,0.09,0.1,7.6,0.28,0.09,0,0,0,0
11,きび　精白粒　　　,11.3,3.3,70.9,0,0.34,0.09,3.7,0.95,0.2,0,0,0,0
12,こむぎ　［玄穀］　国産　普通　,10.6,3.1,72.2,0,0.41,0.09,6.3,1.03,0.35,0,0,0,0
13,こむぎ　［玄穀］　輸入　軟質　,10.1,3.3,75.2,0,0.49,0.09,5,1.07,0.34,0,0,0,0
14,こむぎ　［玄穀］　輸入　硬質　,13,3,69.4,0,0.35,0.09,5.8,1.29,0.34,0,0,0,0
15,こむぎ　［小麦粉］　薄力粉　1等　,8.3,1.5,75.8,0,0.11,0.03,0.6,0.53,0.03,0,0,0,0
16,こむぎ　［小麦粉］　薄力粉　2等　,9.3,1.9,74.3,0,0.21,0.04,1,0.62,0.09,0,0,0,0
17,こむぎ　［小麦粉］　中力粉　1等　,9,1.6,75.1,0,0.1,0.03,0.6,0.47,0.05,0,0,0,0
18,こむぎ　［小麦粉］　中力粉　2等　,9.7,1.8,74,0,0.22,0.04,1.2,0.66,0.07,0,0,0,0
19,こむぎ　［小麦粉］　強力粉　1等　,11.8,1.5,71.7,0,0.09,0.04,0.8,0.77,0.06,0,0,0,0
20,こむぎ　［小麦粉］　強力粉　2等　,12.6,1.7,70.6,0,0.13,0.04,1.1,0.93,0.08,0,0,0,0
21,こむぎ　［小麦粉］　強力粉　全粒粉　,12.8,2.9,68.2,0,0.34,0.09,5.7,1.27,0.33,0,0,0,0
22,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用　,10.1,1.9,73.6,1,0.21,0.03,1.5,0.41,0.07,0.1,0,0.1,1
23,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用　,7.8,4,74.4,9,0.1,0.08,0.5,0.48,0.04,0.1,0,0.1,1
24,こむぎ　［小麦粉］　プレミックス粉　から揚げ用　,10.2,1.2,70,5,0.15,0.07,1.3,0.33,0.12,0,0,0,2
25,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　,8.8,1.3,76.1,1,0.12,0.99,0.9,0.35,0.06,0,0,0,0
26,こむぎ　［パン類］　食パン　　,9.3,4.4,46.7,0,0.07,0.04,1.2,0.47,0.03,0,0,0,0
27,こむぎ　［パン類］　コッペパン　　,8.5,3.8,49.1,0,0.08,0.08,0.7,0.63,0.04,0,0,0,0
28,こむぎ　［パン類］　乾パン　　,9.5,4.4,78.8,0,0.14,0.06,0.9,0.41,0.06,0,0,0,0
29,こむぎ　［パン類］　フランスパン　　,9.4,1.3,57.5,0,0.08,0.05,1.1,0.45,0.04,0,0,0,0
30,こむぎ　［パン類］　ライ麦パン　　,8.4,2.2,52.7,0,0.16,0.06,1.3,0.46,0.09,0,0,0,0
31,こむぎ　［パン類］　ぶどうパン　　,8.2,3.5,51.1,0,0.11,0.05,1.2,0.42,0.07,0,0,0,0
